,Unnamed: 0,내용,등록일
10,859,2009년 장애인정책 주요 변경사항 안내장애(아동)수당’09년부터 장애수당선정기준으로 활용되는 기초생활보장제도 기준이 완화됨에 따라 장애수당 대상자가 확대됩니다.소득 · 재산의 산정범위가 변경되어 아들부부와 함께 사는 장애인의 경우 아들부부의 소득 · 재산은 제외하고장애인 부모의 소득 · 재산만으로 지원여부가 판단됩니다.재산에서 제외하는 기본재산액은 대도시는 3 800만원에서 5 400만원으로 중소도시는 3 100만원에서 3 400만원으로 인상됩니다문의 : 장애인소득보장과 (☎ 02-2023-8673 8675)장애인 일자리사업장애유형과 정도에 알맞은 일자리를 발굴 · 보급을 통해 장애인의 사회참여 확대와 소득창출을 지원하는 장애인일자리사업을 확대해 나갈 예정입니다.현재 장애인복지일자리수가 3 000개에서 3 500개로 확대되어 다양한 일자리 유형이 개발 · 보급됩니다.아울러장애인복지일자리 참여자에게는 월 5 000원의 교통비가 추가 지급됩니다.문의 : 장애인소득보장과 (☎ 02-2023-8672 8674)여성장애인 교육사업그간 10개 시·도에서만 실시하던 여성장애인 교육사업을 16개 시·도로 확대할 예정입니다.등록 여성장애인이면 동 교육사업에 신청이 가능하며시·도별로 선정한 사업수행기관(장애인복지관장애인단체 등)에서 사업이 시행될 예정입니다.사업내용은 저학력 여성장애인대상 교육취업능력 배양 교육사회적응 및 참여교육 등이며각 시·도별 지역사회 특성과 여성장애인 욕구에 맞는 교육프로그램을 제공할 예정입니다.문의 : 장애인정책과 (☎ 02-2023-8185)장애인 활동보조서비스장애인 활동보조서비스 지원시간이 확대됩니다.2008년에 비해 등급별로 10시간씩 증가독거 특례대상자는 지원시간이 2008년과 동일본인부담금 납부시기가 변경됩니다.1차 납부기간 : 매월 15일~27일까지추가연장기간 : 익월 1~10일까지(10일이 휴일인 경우 익일까지)휴일에는 입금 불가1차에 납부하면 1일부터추가연장기간에 납부하면 납부 익일부터 서비스 제공CMS를 이용한 본인부담금 납부가 가능합니다.CAP방식 도입으로 이월 시간이 제한됩니다.이월 시간이 생성 시간의 2배 이상일 경우 익원문보기,2009-01-07
11,857,질병관리본부(본부장 : 이종구)는 중국 등 외국에서 조류인플루엔자 인체감염 사례가 지속적으로 보도됨에 따라해외여행을 하는 국민들에게 조류인플루엔자 인체감염 주의를 당부하였다.최근 중국에서 조류인플루엔자 인체감염으로 인한 사망사례가 세계 보건 기구에 보고되고 있으며지금까지 조류인플루엔자 인체감염으로 30명의 환자가 발생이중 20명이 사망한 것으로 확인됨AI 위험지역을 여행할 때는 가금류를 사육하는 농가방문을 자제하고야생조류와 접촉하지 않도록 하며외출 후 손을 씻는 안전수칙을 준수할 것을 요청함조류인플루엔자 인체감염 예방 안전수칙조류인플루엔자 유행지역의 닭·오리 농장 및 판매시장 방문 자제외출 후 양치질손 씻기 등 개인위생수칙의 철저한 준수귀국 시 또는 귀국 후 10일 이내에 38℃ 이상의 발열과 더불어 기침·인후통 등의 호흡기증상 발생 시 반드시 공․항만 검역소나 가까운 보건소로 즉시 신고이와 관련하여 질병관리본부는 전국 검역소를 통해 조류인플루엔자 발생국가에서 입국하는 여행자를 대상으로 발열감시 등 검역을 강화하였다.문의 : 질병관리본부 검역지원팀 02-380-2651,2009-01-07
12,855,‘09년 1월 10일자로 「장애인의 권리에 관한 협약」이 국내 발효됨에 따라우리나라의 장애인 인권과 기본적 자유 보장 수준이 한 단계 성숙하고 장애인 인권 증진을 위한 국제적 노력에도 동참하게 되는 계기가 될 것으로 기대된다.‘장애인의 권리에 관한 협약’은 여성장애인․장애아동의 권리보호장애인의 이동권과 문화접근권 보장교육권과 일할 권리 등 총 50개 조항에 걸친 전 생활영역에서의 장애인 권익보장을 내용으로 하고 있다.가입국은 협약 내용의 실현을 모니터링 한 국가종합보고서를 가입 후 2년 이내에 제출해야 하며우리나라의 경우 협약의 주요 내용이 지난해 4월 아시아에서 두 번째로 시행된 ｢장애인차별금지법｣ 에 의해 구체화되어 있으므로 동법의 안정적 정착을 위한 정부의 노력과 국민의 자발적 참여가 필요하다.정부는 협약 국내발효를 계기로 장애인차별금지법의 안정적 정착을 위한 모니터링체계를 구축하여 장애인차별 관련 실태를 면밀히 파악하여 보완하는 사업을 추진 중이며장애인 차별금지를 위한 국민인식개선사업을 지속적으로 추진할 계획이다문의 : 장애인권익증진과 02-2023-8645,2009-01-08
13,848,질병관리본부(본부장 이종구)는 2008-2009절기 인플루엔자 표본감시 결과현재 유행하고 있는 A/H1N1형 바이러스 중 Oseltamivir (상품명 : 타미플루)에 대해 내성을 보이는 바이러스가 유행하고 있음을 확인하였다.질병관리본부가 인플루엔자 바이러스의 항바이러스제에 대한 내성을 분석한 결과2008년 11월 말부터 국내에서 유행하고 있는 A/H1N1형 바이러스 중에서 Oseltamivir(상품명 : 타미플루)에 대한 내성주가 발견되었다.Oseltamivir(상품명 : 타미플루) 내성 인플루엔자 바이러스는 2008년 1월 이후 유럽미주 지역 등지에서 많이 보고되었으나국내에서는 이번 절기에 처음 확인되었다.질병관리본부는 2008-2009절기 백신주가 현재 유행주 및 내성주와도 유사하므로 고령자임신부 등 예방접종 우선권장 대상자 중 아직까지 예방접종을 실시하지 않은 사람들에 대한 백신접종을 적극 권장하였다.또한 인플루엔자 예방을 위하여 ‘손씻기’‘기침예절 지키기’ 등과 같은 개인위생 수칙을 지켜줄 것을 당부하였다.A/H1N1형은 2008-2009절기 백신주[A/Brisbane/59/2007(H1N1)] 유사주A/H3N2형은 2008-2009절기 백신주[A/Brisbane/10/2007(H3N2)] 유사주로 분석향후일부 대학병원과 협력하여 Oseltamivir 내성 인플루엔자 바이러스에 대한 임상실험을 통해 항바이러스제 효능을 조사하고 일선 의료기관에 인플루엔자 환자 치료에 필요한 정보를 조속히 제공할 예정이다.문의 : 질병관리본부 02-380-210102-380-2662,2009-01-12
14,850,보건복지가족부(장관 전재희)는 최근의 경제 위기를 극복하고 도약의 기회로 전환하기 위해 차세대 신 성장동력으로 각광받고 있는 보건의료산업 활성화에 적극 나서기로 했다.이와 관련하여 복지부는 1월 9일 『보건의료산업 경쟁력 강화 T/F』 첫 회의를 열고단기간에 가시적 성과를 낼 수 있는 보건의료산업 발전과제를 집중 발굴하여 추진해 나가기로 했다.금년말까지 한시적으로 운영 예정인 T/F는 박하정 복지부 보건의료정책실장과 김법완 한국보건산업진흥원장을 공동단장으로 하고“해외환자 유치”“제약산업 육성”“화장품산업 육성” 및 “의료기기산업 육성” 등 4개의 분과를 운영하며 복지부 내 관련 국과장과 관련 기관 및 협회 등 민간전문가를 망라하여 구성되었다.복지부는 2012년까지의 연차별 계획을 수립하고 우선 금년 상반기 내에 마무리 가능한 단기과제에 집중하되법률 개정 및 제도 개선이 필요한 과제는 별도로 관리한다는 방침이다.특히이날 회의에서는 추진 과제별로 월별 추진 일정 및 기관별 역할 분담방안을 논의했으며앞으로 월 단위로 과제 추진상황을 점검해 나가기로 했다.이를 위해 T/F 전체 회의는 매월 정기적으로 1회 이상 개최하고복지부 담당 국장 4명을 분과장으로 운영하게 될 분과별 회의는 수시로 개최하기로 했다.이와 관련복지부 관계자는 “금년도 해외환자 유치 목표는 작년의 4만명의 두배인 8만명”이라고 밝히면서 이를 위해 “환자 유치 활동 관련 법령 개정비자제도 개선해외 마케팅 지원의료관광특구 지정 등 할 일이 많다”고 설명했다.복지부는 이외에도 의약품 유통 선진화와 제조기준 강화를 통한 제약산업의 체질 강화를 제약산업 분과의 금년 목표로 추진하고 화장품과 의료기기 분야도 R&D 지원규제 합리화 및 해외마케팅 지원 등을 세부과제로 선정해 추진할 계획이다.또한실제 현장의 애로사항을 듣고 지원할 수 있는 방안을 마련하기 위해 1월 중에 국내외 현장 방문과 간담회 개최 등을 통해 추가적으로 과제를 발굴선정할 계획”이다.문의 : 보건의료정책과 02-2023-7297,2009-01-12
15,852,"국민연금공단(이사장 박해춘www.nps.or.kr)은 1월 12일(월) 노후준비생활에 관심이 많은 고객들을 위한 인터넷 카페 “행복한 미래를 준비하는 사람들”(http://cafe.daum.net/mylife337)을 개설오픈한다.""행복한 미래를 준비하는 사람들”(이하 “행복준사”) 카페는 공단의 노후종합포털 ‘행복나래(http://csa.nps.or.kr)*와 더불어 공단과 고객고객과 고객 상호간의 쌍방형의 의사소통참여형 공간을 추가로 제공하게 된다.‘행복나래’는 노후준비와 건강한 노후생활을 위한 노후종합포털로 건강재무주거일/취업취미/여가대인관계 등 6개 분야의 전문정보를 제공하고 있음특히 카페는 건강재무 등 공단의 노후설계서비스(CSA) 관련 최신 정보를 신속히 제공할 뿐 아니라회원간의 의견과 경험을 공유할 수 있게 된다.가입대상은 연금수급자50세 이상 준고령자를 주요 고객으로할 뿐만 아니라관심 있는 모든 네티즌에 개방된다.또한 공단은 인터넷 카페(“행복준사”)를 포함하여 전국 91개 소모임 카페도 별도로 마련하여 각 지역에 기반을 둔 복지서비스일자리지역축제 등의 생활정보는 물론 연금수급자들에게 동호회나 정보교류의 공간을 제공하게 된다.이와 같은 지역밀착형 노후설계서비스 제공을 통해서어르신들의 만족도 높은 노후생활을 위한 종합적 노후설계 전문기관으로서의 역할을 강화해 나갈 계획이다.공단은 ‘인터넷 카페(행복준사)’를 통해어르신들이 노후에 대한 안정감과 자신감을 갖는 계기를 마련하여 노후설계상담의 기본취지인 “국민들이 스스로 준비하는 노후”를 실현할 수 있을 것으로 기대하고 있다.문의 : 국민연금공단 02-2240-1953",2009-01-12
16,838,국민연금공단(이사장 박해춘www.nps.or.kr)은 국민연금법 일부개정*으로 공단의 업무에 노후설계서비스(CSA)가 추가됨에 따라 앞으로 노후설계 전문기관으로서의 역할을 보다 더 강화해 나가겠다고 14일 밝혔다.공단의 주요업무로 노후설계상담 및 소득지원 활동이 추가된 국민연금법 개정안이 지난 1월 8일(목) 국회 본회의를 통과함[붙임2참조]노후준비에 대한 관심과 노후준비 관련 서비스에 대한 요구가 증가하고 있는 시점에서공단이 종합적인 노후설계 전문기관으로의 역할을 강화하게 됨에 따라 노후준비에 취약했던 많은 국민들이 체계적이고 균형적인 노후준비를 하는데 도움이 될 것으로 기대하고 있다.공단은 노후설계 전문기관으로의 역할 정립을 위해 2003년부터 노후설계서비스(CSA) 사업의 타당성 분석 및 사업모형 개발노후설계 전문인력 양성노후종합포털 개발사회자원 활용 인프라 구축 등 체계적 준비를 해왔으며2008년 4월부터 본격적인 서비스를 시작하여 2008년 12월 말까지 108천여명의 고객에게 노후설계서비스(CSA)를 제공하였다.[붙임1 참조]노후설계서비스(CSA)는 연령대별로 차별화된 상담서비스를 제공하는데30대～50대 고객을 주대상으로 하는 노후소득보장상담과 50대 이후 고객을 주대상으로 하는 노후생활상담으로 나누어진다.노후소득보장상담은 고객의 재무영역에 있어서의 노후준비 정도를 분석하여 국민연금 수급권 확보 등을 통해 부족 부분을 준비할 수 있도록 도와드리며필요 고객에게 일자리 연계 서비스를 제공하여 고객의 경제적 노후준비에 기여하고노후생활상담은 고객의 비재무영역(건강대인관계주거취미ㆍ여가)에 대한 노후준비를 위해 유용한 정보를 제공하고 사회적 자원을 연결해 줌으로써 건강하고 활기찬 노후생활에 도움을 제공한다.노후소득보장이 공적연금을 기본으로 한 다층보장체계로 전환되고 있는 대부분의 해외 선진국들도 이미 국민들이 스스로 노후준비를 할 수 있도록 국가적 차원에서 교육과 상담정보 제공 서비스를 하고 있으며이를 국가의 중요한 역할로 인식하고 있다.향후 공단은 국민연금만이 아니라 개인연금퇴직연금 등 사적연금을 연계한 종합적인 연금안내 서비스를 국민에게 제공하여다층보장체계 구축을 통한 노후소득보장을 돕고노후준비 관련 종합적인 정보와 다양한 서비스 제공을 통해 국민의 건강한 노후생활을 지원하는 종합적인 노후설계 전문기관으로의 역할을 강화해 나갈 계획이다.문의 : 국민연금공단 2240-1961,2009-01-13
17,840,보건복지가족부(장관 전재희)는 2008년도에 실시된 사회복지시설평가결과를 발표하였다.2008년도 평가대상시설은 정신요양시설 55개소사회복귀시설 113개소부랑인복지시설 36개소장애인복지관 119개소이다.제4기(‘08~’10) 평가는 전국적으로 사회복지시설 평가가 실시된 지 10년째 되는 해로서평가지표 강화 및 사회복지현장 의견 반영지역별 특성반영동일 유형간 상호비교가 가능하도록 개선한 것이 특징이다.붙임 2) 제4기 평가 특징 참조평가결과전반적으로 사회복지시설의 서비스 수준이 향상되고 있고대부분 시설의 환경이나 시설 운영 상태가 상당 수준 개선되고 있는 것으로 나타났다.붙임 1) 주요결과 요약 참조전체 평가점수는 평가지표가 강화되었음에도 100점 만점에 83.16점으로 지난 평가(2005년81.45점)보다 1.71점 상승했고 특히모든 시설유형에서 ‘시설 및 환경’ 영역의 점수가 상승한 것으로 나타났다.전체 평가대상시설 323개소 중 평점이 90점 이상인 최우수시설은 99개소(30.7%)이다.특히장애인복지관의 최우수시설이 49.6%(119개 중 59개)로 가장 많은 수를 기록하였다.유형별로는 부랑인복지시설이 모든 지표에서 향상된 것으로 나타나2005년도 평가지표를 대폭 강화해 이를 가이드라인으로 운영한 것이 긍정적인 결과를 가져온 것으로 분석되었고정신요양시설과 사회복귀시설장애인복지관의 경우 다른 지표들에 비해 ‘지역사회 관계영역’이 약화되어 사회복지시설과 지역사회가 상호연계체계를 강화할 필요가 있음을 보여주고 있다.복지부는 앞으로 평가 상위시설에 대하여는 기존의 정부 표창 뿐 아니라 인센티브를 새롭게 지급하여 복지서비스 수요자들의 만족도가 높아질 수 있도록 지원하기로 하였다.또한 평가 결과 하위시설에 대하여는 서비스품질관리단을 새롭게 도입하여 해당 시설들이 전문적인 컨설팅을 통해 시설운영 개선방안을 마련할 수 있도록 할 방침이다.사회복지시설평가는 사회복지시설의 투명성을 확보하고 사회복지서비스의 품질제고 및 복지 예산 활용의 효율성을 높이기 위해 1999년부터 실시되었다.평가는 3년 주기로 실시되며제4기(’08-’10) 평가는 한국사회복지협의회(회장 김득린)의 사회복지시설평가단(총괄위원장 숭실대 정무성 교수)에서 수행하고 있다.2009년도에는 노인복지시설 90개소노인복지관 180개소사회복지관 380개소한부모가족복지시설 80개소에 대한 평가가 실시될 예정이다.문의 : 민간복지과 02-2023-8296,2009-01-13
18,842,국립의료원 이비인후과 강제구 과장의 논문 『Nasal Tip Surgery Using a Modified Septal Extension Graft by Extended Marginal Incision』이 성형외과학 분야에서 세계적으로 권위있는 의학전문지 『Plastic and Reconstructive Surgery(PRS)』 2009년 1월호에 게재되었다.이 논문에서 강제구 과장은 서양인과 해부학적으로 다른 아시아인에게 더욱 적합하고 독특한 비첨 성형수술 기법을 소개하고 있다.서양인에 비해 피부가 두껍고 얇은 연골구조를 가지고 있는 동양인의 코끝은 코끝 성형을 통하여 아름다운 모양을 만드는데 태생적인 한계를 가지고 있다.강 과장은 자신이 고안한 변형비중격확장판이식법으로 이러한 한계를 극복하고 동양인에서 이상적인 코끝 모양을 만들 수 있는 수술방법을 제시하였고 외부절개법을 피하여 흉터가 보이지 않으면서도 충분한 시야를 확보할 수 있는 변형된 비내집조법을 사용하여 수술한 티가 나지 않는 자연스러운 결과를 얻는 방법을 발표하여 동양인의 코성형을 한단계 발전시킨 것으로 평가 받고 있다.문의 : 국립의료원 홍보전산팀 02-2260-7056,2009-01-13
19,844,보건복지가족부 장애인정책국에서는 국·과장 등의 인사이동에 따라 현장 중심의 조속한 업무파악과 아울러 많은 장애인들이 요구하는 장애 감수성의 제고를 위하여 1월 9일자 인사이동 직후 봉사활동 및 장애체험학습을 실시하였다.1월10일 토요일에는 서울 강동구 암사동에 위치한 중증장애인요양시설인 ‘암사재활원’을 찾아 시설 내·외부의 청소장애인들의 산책 및 식사를 돕는 봉사활동을 실시하였다.1월12일 월요일에는 신임 국과장을 포함한 20여명이 서울 강북구에 위치한 국립재활원을 방문하여 ‘장애체험 프로그램’에 참가하여이날 같은 프로그램에 참여한 일반인 30여명과 함께 3시간에 걸쳐 휠체어체험시각장애체험편의시설장애체험 등을 실시하였다.문의 : 장애인정책과 02-2023-8199,2009-01-13
20,846,국립재활원(원장 박병하)에서는 중증장애인의 자립생활능력 향상을 위한 재활훈련생을 모집한다.사회적응에 어려움을 겪는 중증장애인에 대한 신체적ㆍ정신적ㆍ사회적 기능향상을 위한 재활훈련을 통하여 가정과 지역사회에서 원활하게 지낼 수 있도록 도움을 주는 훈련으로훈련대상은 만18세~65세이하 1-3급의 뇌병변지체장애인과 18세~30세이하 1-3급 지적장애인이며훈련내용은 도자기컴퓨터일상생활훈련동료상담재활운동 등 15개 프로그램으로 구성되어 있으며훈련기간은 3개월교육비는 무료다.참여를 원하는 장애인은 국립재활원 재활훈련과(02-901-1553~5)로 문의하면 된다.,2009-01-13
